developer,city,country
0verflow,Tokyo,Japan
11 bit studios,Warsaw,Poland
1C Company,Moscow,Russia
1-Up Studio,Tokyo,Japan
2K Czech,Brno,Czech Republic
2K,Novato,United States
343 Industries,Redmond,United States
38 Studios,Providence,United States
3D Realms,Garland,United States
42 Entertainment,Pasadena,United States
4A Games,Kyiv Sliema,Ukraine Malta
5th Cell,Bellevue,United States
87KGames,Warrington,United Kingdom
989 Studios,Foster City,United States
Acclaim Entertainment,Glen Cove,United States
Acclaim Studios Austin,Santa Clara,United States
Accolade,San Jose,United States
Access Games,Osaka,Japan
Access Software,Salt Lake City,United States
ACE Team,Santiago de Chile,Chile
Aces Game Studio,Redmond,United States
Acquire,"Chiyoda, Tokyo",Japan
Action Forms,Kyiv,Ukraine
Active Gaming Media,Osaka,Japan
Activision,Santa Monica,United States
Adventure Soft,Birmingham,United Kingdom
Akella,Moscow,Russia
Alfa System,Kumamoto City,Japan
AlphaDream,Tokyo,Japan
Amazon Game Studios,Seattle,United States
Animation Magic,Gaithersburg,United States
"Amazon Game Studios, Orange County (formerly Double Helix Games)",Irvine,United States
Ambrella,Tokyo,Japan
Ancient,Hino,Japan
Anino,Manila,Philippines
Ankama Games,Roubaix,France
Appy Entertainment,Carlsbad,United States
AQ Interactive,Tokyo,Japan
Aquria,Yokohama,Japan
Arc System Works,Yokohama,Japan
Arcane Kids,Los Angeles,United States
Arcen Games,Durham,United States
Arkane Studios,Lyon,France
Arkedo Studio,Paris,France
ArenaNet,Bellevue,United States
Arika,Tokyo,Japan
Arrowhead Game Studios,Skellefteå,Sweden
Arkadium,New York,United States
Artech Digital Entertainment,Ottawa,Canada
Artdink,Tsukishima,Japan
ArtePiazza,Tokyo,Japan
Artificial Studios,Gainesville,United States
Artoon,Yokohama,Japan
Arzest,Yokohama,Japan
Ascaron,Gütersloh,Germany
Asobo Studio,Bordeaux,France
Aspyr,Austin,United States
Atelier 801,Lille,France
Atari Interactive (formerly Hasbro Interactive),Pawtucket,United States
Atlus,Tokyo,Japan
Attic Entertainment Software,Albstadt,Germany
Audiogenic,Essex,United Kingdom
Avalanche Studios Group,Stockholm,Sweden
Aventurine SA,Athens,Greece
Backflip Studios,Boulder,United States
Bandai Namco Entertainment Bandai Namco Studios,"Minato, Tokyo",Japan
Bandai Namco Forge Digitals,Tokyo,Japan
Bauhaus Entertainment,Tokyo,Japan
Beamdog,Edmonton,Canada
Beenox,Quebec City,Canada
Behaviour Interactive,Montreal,Canada
Behaviour Santiago,Santiago de Chile,Chile
Bethesda Game Studios,Rockville,United States
Big Blue Bubble,London,Canada
Big Finish Games,Salt Lake City,United States
Big Huge Games,Baltimore,United States
BioWare,Edmonton,Canada
The Bitmap Brothers,London,United Kingdom
Best Way,Luhansk,Ukraine
Bits Studios,London,United Kingdom
Bizarre Creations,Liverpool,United Kingdom
Black Forest Games,Offenburg,Germany
Black Isle Studios,Orange County,United States
Black Rock Studio,Brighton,United Kingdom
Blitz Games Studios,Leamington Spa,United Kingdom
Blizzard Entertainment,Irvine,United States
Bloober Team,Kraków,Poland
Bluepoint Games,Austin,United States
Blueside,Seoul,South Korea
Blue Fang Games,Waltham,United States
Blue Tongue Entertainment,Melbourne,Australia
Bluehole Studio,Seongnam,South Korea
Bohemia Interactive,Prague,Czech Republic
Boss Fight Entertainment,McKinney,United States
Boss Key Productions,Raleigh,United States
BreakAway Games,Hunt Valley,United States
Broderbund,Eugene,United States
Budcat Creations,Iowa City,United States
Bugbear Entertainment,Helsinki,Finland
Bullfrog Productions,Guildford,United Kingdom
Bungie,Bellevue,United States
Camelot Software Planning,Tokyo,Japan
Capcom,Osaka,Japan
Capcom Vancouver,Burnaby,Canada
Carbine Studios,Aliso Viejo,United States
Cattle Call,Tokyo,Japan
Cauldron,Bratislava,Slovakia
Cave,"Shinjuku, Tokyo",Japan
Cavia,Tokyo,Japan
CCP Games,Reykjavík,Iceland
CD Projekt Red,Warsaw,Poland
Certain Affinity,Austin,United States
Chair Entertainment,Salt Lake City,United States
Chunsoft,"Shinjuku, Tokyo",Japan
Cing,Fukuoka,Japan
Clap Hanz,Yokohama,Japan
Climax Entertainment,Tokyo,Japan
Climax Studios,Portsmouth,United Kingdom
Clover Studio,Osaka,Japan
Coded Illusions,Rotterdam,Netherlands
Codemasters,Southam,United Kingdom
Coffee Stain Studios,Skövde,Sweden
Cohort Studios,Cardiff,United Kingdom
Coktel Vision,Paris,France
Colossal Order,Tampere,Finland
Compile Heart,Tokyo,Japan
Compulsion Games,Montreal,Canada
Com2uS,Seoul,South Korea
Coreplay,Munich,Germany
Com2uS Holdings (formerly Gamevil),Seoul,South Korea
Core Design,Derby,United Kingdom
Crafts & Meister,Osaka,Japan
Crawfish Interactive,Croydon,United Kingdom
Creat Studios,Canton,United States
Creative Assembly,Horsham,United Kingdom
Creatures,Tokyo,Japan
Criterion Games,Guildford,United Kingdom
Croteam,Zagreb,Croatia
Cryo Interactive,Paris,France
Culture Brain Excel,Tokyo,Japan
Crea-Tech,Tokyo,Japan
Cryptic Studios,Los Gatos,United States
Crystal Dynamics,Redwood City,United States
Crytek,Frankfurt,Germany
Crytek UK,Nottingham,United Kingdom
Cyan Worlds,Mead,United States
Cyanide,Nanterre,France
CyberConnect2,Fukuoka,Japan
Cyberlore Studios (Blueline Simulations),Northampton,United States
CyberStep,Tokyo,Japan
Cygames,Tokyo,Japan
Daedalic Entertainment,Hamburg,Germany
Dambuster Studios,Nottingham,United Kingdom
Danger Close Games,Los Angeles,United States
Day 1 Studios,Chicago,United States
Daybreak Game Company,San Diego,United States
Deadline Games,Copenhagen,Denmark
Deck13,Frankfurt,Germany
Demiurge Studios,Cambridge,United States
DeNA,Tokyo,Japan
devCAT Studios (Nexon development 3rd division),Seoul,South Korea
Dhruva Interactive,Bangalore,India
Die Gute Fabrik,Copenhagen,Denmark
Digital Extremes,London,Canada
Digital Eclipse,Emeryville,United States
Digital Happiness,Bandung,Indonesia
Digital Reality,Budapest,Hungary
Dimps,Osaka,Japan
Disney Interactive Studios,Glendale,United States
Don Bluth Entertainment,Dublin,Ireland
Don't Nod,Paris,France
DotEmu,Paris,France
Double Fine Productions,San Francisco,United States
Dovetail Games,Chatham,United Kingdom
The Dovetail Group,,United States
Dr. Panda,Chengdu,China
Dynamix,Eugene,United States
EA Black Box,British Columbia,Canada
EA Digital Illusions CE (EA DICE),Stockholm,Sweden
EA Gothenburg,Gothenburg,Sweden
EA Phenomic,Ingelheim am Rhein,Germany
EA Salt Lake,Salt Lake City,United States
EA Tiburon,Maitland,United States
EA Vancouver (formerly Distinctive Software),Burnaby,Canada
Eagle Dynamics,Moscow,Russia
Eat Sleep Play,Salt Lake City,United States
Ecole Software,Nishinomiya,Japan
Eko Software,Paris,France
Egosoft,Würselen,Germany
Eden Games,Lyon,France
Eidos-Montréal,Montreal,Canada
Eighting,Tokyo,Japan
Electronic Arts,Redwood City,United States
Elemental Games,Vladivostok,Russia
Elite Systems,Lichfield,United Kingdom
Engine Software,Doetinchem,Netherlands
Ensemble Studios,Dallas,United States
Epic Games,Cary,United States
Epics,Tokyo,Japan
Epicenter Studios,Sherman Oaks,United States
ESA (formerly Softmax),Seoul,South Korea
Eric Barone,Seattle,United States
Epyx,San Francisco,United States
Étranges Libellules,Lyon,France
Eugen Systems,Paris,France
Eurocom,Derby,United Kingdom
Evolution Studios,Runcorn,United Kingdom
Examu,Tokyo,Japan
Eyedentity Games,Seoul,South Korea
Facepunch Studios,Walsall,United Kingdom
FarSight Studios,Big Bear Lake,United States
FASA Studio,Redmond,United States
Fatshark,Stockholm,Sweden
feelplus,Tokyo,Japan
Felistella,Gifu,Japan
Firaxis Games,Sparks,United States
Firefly Studios,London,United Kingdom
Firesprite,Liverpool,United Kingdom
First Star Software,Chappaqua,United States
Flagship Studios,San Francisco,United States
Flight-Plan,Gifu,Japan
Flying Wild Hog,Warsaw,Poland
Focus Entertainment,Paris,France
Foundation 9 Entertainment,Emeryville,United States
Fox Digital Entertainment,Los Angeles,United States
FoxNext,Los Angeles,United States
Frictional Games,Helsingborg,Sweden
Frogwares,Kyiv,Ukraine
Frog City Software,San Francisco,United States
FromSoftware,Tokyo,Japan
Frontier Developments,Cambridge,United Kingdom
Frozenbyte,Helsinki,Finland
FTL Games,San Diego,United States
Fun Labs,Bucharest,Romania
Funcom,Oslo,Norway
FuRyu,Tokyo,Japan
Futuremark,Espoo,Finland
Gaijin Entertainment,Budapest,Hungary
Game Arts,"Chiyoda, Tokyo",Japan
Game Freak,"Setagaya-ku, Tokyo",Japan
Game Studio,"Shinagawa, Tokyo",Japan
GameHouse,Seattle,United States
Gameloft,Paris,France
Ganbarion,Fukuoka,Japan
Gearbox Software,Plano,United States
Genius Sonority,Tokyo,Japan
Genki,"Shinjuku, Tokyo",Japan
Glu Mobile,San Francisco,United States
Gogii Games,Moncton,Canada
Good-Feel,Kobe,Japan
Goodgame Studios,Hamburg,Germany
Granzella,Nonoichi,Japan
Grasshopper Manufacture,"Chiyoda, Tokyo",Japan
Gravity,Seoul,South Korea
Gray Matter Studios,Los Angeles,United States
Gremlin Interactive,Sheffield,United Kingdom
Grezzo,"Shibuya, Tokyo",Japan
Grin,Stockholm,Sweden
Grinding Gear Games,Auckland,New Zealand
Griptonite Games,Kirkland,United States
GSC Game World,Kyiv,Ukraine
Guerrilla Cambridge,Cambridge,United Kingdom
Guerrilla Games,Amsterdam,Netherlands
Gunfire Games,Austin,United States
GungHo Online Entertainment,"Chiyoda, Tokyo",Japan
Gust,Nagano,Japan
Haemimont Games,Sofia,Bulgaria
HAL Laboratory,"Chiyoda, Tokyo",Japan
Halfbrick,Brisbane,Australia
Hanaho,Cerritos,United States
h.a.n.d.,Sapporo,Japan
Hangar 13,Novato,United States
Harebrained Schemes,Seattle,United States
Harmonix Music Systems,Cambridge,United States
Hazelight Studios,Stockholm,Sweden
Headstrong Games,London,United Kingdom
Heartbeat,Tokyo,Japan
Heavy Iron Studios,Manhattan Beach,United States
HB Studios,Lunenburg,Canada
Hello Games,Guildford,United Kingdom
HexaDrive,Osaka,Japan
High Impact Games,Burbank,United States
High Moon Studios,San Diego,United States
High Voltage Software,Hoffman Estates,United States
Hothead Games,Vancouver,Canada
Housemarque,Helsinki,Finland
Hudson Soft,Tokyo,Japan
Human Entertainment,Tokyo,Japan
Human Head Studios,Madison,United States
Humongous Entertainment,Bothell,United States
Hyperion Entertainment,Brussels,Belgium
Ice-Pick Lodge,Moscow,Russia
id Software,Mesquite,United States
Idea Factory,"Shibuya, Tokyo",Japan
ILCA,Tokyo,Japan
Idol Minds,Westminster,United States
Imageepoch,Tokyo,Japan
Image & Form,Gothenburg,Sweden
Imagineer,Tokyo,Japan
Infinity Ward,Woodland Hills,United States
Infocom,Cambridge],United States
Incognito Entertainment,Salt Lake City,United States
Incredible Technologies,Arlington Heights,United States
indieszero,Musashino,Japan
Innerloop Studios,Oslo,Norway
Insomniac Games,Burbank,United States
Intelligent Systems,Tokyo,Japan
Interplay Entertainment,Beverly Hills,United States
Inti Creates,"Ichikawa, Chiba",Japan
Introversion Software,London,United Kingdom
inXile Entertainment,Newport Beach,United States
IO Interactive,Copenhagen,Denmark
Ion Storm,Dallas,United States
Ion Storm Austin,Austin,United States
Irem,Hakusan,Japan
Iron Galaxy Studios,Chicago,United States
Iron Lore Entertainment,Maynard,United States
Irrational Games,Quincy,United States
Ivory Tower,Lyon,France
Jackbox Games,Chicago,United States
Jadestone Group,Stockholm,Sweden
Jagex,Cambridge,United Kingdom
Jaleco,Tokyo,Japan
Jam City,Los Angeles,United States
Javaground,Irvine,United States
Jupiter,Kyoto,Japan
JV Games,Las Vegas,United States
Kairosoft,Tokyo,Japan
Kalypso Media,Worms,Germany
Kaos Studios,New York City,United States
Keen Software House,Prague,Czech Republic
Kesmai,Charlottesville,United States
Kiloo Games,Aarhus,Denmark
King,Stockholm,Sweden
Klei Entertainment,Vancouver,Canada
Koei Tecmo Games (formerly Koei),Ashikaga,Japan
KOG Studios,Seoul,South Korea
Kojima Productions,"Shinagawa, Tokyo",Japan
Konami,Tokyo Midtown Minato,Japan
Kongzhong,Beijing,China
Krome Studios,Brisbane,Australia
Krome Studios Melbourne,Melbourne,Australia
Kuju Entertainment,Shalford,United Kingdom
Kunos Simulazioni,Rome,Italy
Kush Games,Camarillo,United States
Kuma Reality Games,New York City,United States
Kylotonn,Paris,France
Larian Studios,Oudenaarde,Belgium
Left Field Productions,Ventura,United States
Legacy Interactive,Los Angeles,United States
Legend Entertainment,Chantilly,United States
Legendo Entertainment,Gothenburg,Sweden
Level-5,Fukuoka,Japan
Lift London,London,United Kingdom
Limbic Entertainment,Langen,Germany
Lionhead Studios,Guildford,United Kingdom
Liquid Entertainment,Pasadena,United States
Little Green Men Games,Zagreb,Croatia
LK Avalon,"Świlcza, Rzeszów",Poland
Llamasoft,Reading,United Kingdom
Linden Lab,San Francisco,United States
Locomotive Games,Santa Clara,United States
Looking Glass Studios,Cambridge,United States
Love-de-Lic,Tokyo,Japan
LucasArts,San Francisco,United States
Luma Arcade,Johannesburg,South Africa
Luxoflux,Santa Monica,United States
MachineGames,Uppsala,Sweden
Magenta Software,Liverpool,United Kingdom
MAGES.,"Shibuya, Tokyo",Japan
Majesco Entertainment,Edison,United States
Marvelous,"Shibuya, Tokyo",Japan
Massive Entertainment,Malmö,Sweden
Masthead Studios,Sofia,Bulgaria
Matrix Software,Tokyo,Japan
Maxis,Emeryville,United States
Mean Hamster Software,Deer Park,United States
Media Molecule,Guildford,United Kingdom
Media.Vision,Tokyo,Japan
Mediatonic,London,United Kingdom
MegaZebra,Munich,Germany
Mercury Steam,Madrid,Spain
Metropolis Software,Warsaw,Poland
MicroProse Software,Hunt Valley,United States
Microsoft Casual Games,Redmond,United States
Midway Games,Chicago,United States
Midway Studios – Newcastle,Gateshead,United Kingdom
Might and Delight,Stockholm,Sweden
miHoYo,Shanghai,China
Milestone,"Suginami, Tokyo",Japan
Milestone srl,Milan,Italy
Millennium Kitchen,Tokyo,Japan
Mimimi Games,Munich,Germany
Minakuchi Engineering,Kōka,Japan
Mistwalker,Tokyo,Japan
Mitchell Corporation,Tokyo,Japan
MLB Advanced Media,New York City,United States
Mode 7 Games,Brighton,United Kingdom
Mojang AB,Stockholm,Sweden
Monolith Productions,Kirkland,United States
Monolith Soft,Tokyo,Japan
Monster Games,Northfield,United States
Monte Cristo,Paris,France
Moonton,Shanghai,China
Moon Studios,Vienna,Austria
Motion Twin,Bordeaux,France
MTO,Yokohama,Japan
Mythic Entertainment,Fairfax,United States
Nadeo,Paris,France
Namco Tales Studio,Tokyo,Japan
NanaOn-Sha,Tokyo,Japan
Nanobit,Zagreb,Croatia
NAPS team,Messina,Italy
Natsume Atari,"Shinjuku, Tokyo",Japan
Natsume Inc.,"Burlingame, California",United States
NaturalMotion,London,United Kingdom
Naughty Dog,Santa Monica,United States
NCSoft,Seoul,South Korea
NDOORS Corporation,Seoul,South Korea
Neko Entertainment,Montreuil-sous-Bois,France
Nerve Software,Richardson,United States
NetDevil,Louisville,United States
NetDragon Websoft,Fuzhou,China
NetEase,Guangzhou,China
NetherRealm Studios,Chicago,United States
Neverland,Tokyo,Japan
Neversoft,Woodland Hills,United States
New World Computing,Agoura Hills,United States
New World Interactive,Denver,United States
Nexon,Tokyo Seoul,Japan South Korea
Next Level Games,Vancouver,Canada
Niantic,San Francisco,United States
Nibris,Kraków,Poland
Nicalis,Santa Ana,United States
Night School Studio,Glendale,United States
Nihon Falcom,Tokyo,Japan
Nikita Online,St. Petersburg,Russia
Nimble Giant Entertainment,Buenos Aires,Argentina
Ninjabee,Orem,United States
Ninja Theory,Cambridge,United Kingdom
Nintendo,Kyoto,Japan
Nintendo Cube,Tokyo,Japan
Nintendo Software Technology,Redmond,United States
Nippon Ichi Software,Kakamigahara,Japan
Nival,St. Petersburg,Russia
Nordeus,Belgrade,Serbia
NovaLogic,Agoura Hills,United States
Novarama,Barcelona,Spain
Now Production,Osaka,Japan
Nude Maker,Tokyo,Japan
NuFX,Hoffman Estates,United States
n-Space,Orlando,United States
Obsidian Entertainment,Irvine,United States
Oddworld Inhabitants,San Luis Obispo,United States
Omega Force,Ashikaga,Japan
Origin Systems,Austin,United States
OtherSide Entertainment,Boston,United States
Outfit7,Ljubljana,Slovenia
Outrage Entertainment,Ann Arbor,United States
Out of the Park Developments,Hollern-Twielenfleth,Germany
Overkill Software,Stockholm,Sweden
Oxygen Studios,Croydon,United Kingdom
Page 44 Studios,San Francisco,United States
Pangea Software,Austin,United States
Paradigm Entertainment,Farmers Branch,United States
People Can Fly,Warsaw,Poland
Project Sora,Tokyo,Japan
Purple Lamp Studios,Vienna,Austria
Project Soul,Tokyo,Japan
Panther Games Pty Ltd,Canberra,Australia
Paradox Development Studio,Stockholm,Sweden
Parallax Software,Ann Arbor,United States
Pandemic Studios,Los Angeles,United States
Pendulo Studios,Madrid,Spain
Penguin Software,Geneva,United States
Perfect World,Beijing,China
Petroglyph,Las Vegas,United States
Phantagram,Seoul,South Korea
Pipeworks Studios,Eugene,United States
Piranha Bytes,Essen,Germany
Piranha Games,Vancouver,Canada
Pivotal Games,Bath,United Kingdom
Pixel Federation,Bratislava,Slovakia
Playdom,San Francisco,United States
Playfish,London,United Kingdom
PlayFirst,San Francisco,United States
Playground Games,Royal Leamington Spa,United Kingdom
PlatinumGames,Osaka,Japan
Polyphony Digital,Tokyo,Japan
PopCap Games,Seattle,United States
PopTop Software,Fenton,United States
Press Play,Copenhagen,Denmark
Private Division,New York City,United States
Psyonix,San Diego,United States
PUBG Studios,Seongnam,South Korea
Punch Entertainment,Hanoi,Vietnam
Pyro Mobile,Madrid,Spain
Q Entertainment,Tokyo,Japan
Q-Games,Nakagyō-ku,Japan
Quantic Dream,Paris,France
Quest Corporation,Tokyo,Japan
Quintet,Tokyo,Japan
Radical Entertainment,Vancouver,Canada
Rage Games,Liverpool,United Kingdom
Rainbow Studios,Phoenix,United States
Rare,Twycross,United Kingdom
Raven Software,Middleton,United States
RDI Video Systems,Carlsbad,United States
Ready at Dawn,Irvine,United States
Red Entertainment,Tokyo,Japan
Reality Pump Studios,Kraków,Poland
Realtime Associates,Los Angeles,United States
Realtime Worlds,Dundee,United Kingdom
Rebel Wolves,Warsaw,Poland
Rebellion Developments,Oxford,United Kingdom
Rebellion Warwick,Leamington Spa,United Kingdom
RedLynx,Helsinki,Finland
Red Thread Games,Oslo,Norway
Red Storm Entertainment,Cary,United States
RedTribe (Tribalant),Melbourne,Australia
Reflexive Entertainment,Lake Forest,United States
Relic Entertainment,Vancouver,Canada
Remedy Entertainment,Espoo,Finland
Respawn Entertainment,"Sherman Oaks, Los Angeles",United States
Reto-Moto,Copenhagen,Denmark
Retro Studios,Austin,United States
Revolution Software,York,United Kingdom
Riot Games,Santa Monica,United States
Rising Star Games,Luton,United Kingdom
Robomodo,Chicago,United States
Robot Entertainment,Plano,United States
Rockstar Games Rockstar India Rockstar Leeds Rockstar Lincoln Rockstar London Rockstar New England Rockstar North Rockstar San Diego Rockstar Toronto,New York City Bangalore Leeds Lincoln London Ballardvale Edinburgh Carlsbad Oakville,United States India United Kingdom Canada
Rockstar Dundee,Dundee,United Kingdom
Rocksteady Studios,London,United Kingdom
Robinson Technologies,Hiroshima,Japan
Romero Games,Galway,Ireland
Rovio Entertainment,Espoo,Finland
Runic Games,Seattle,United States
Running with Scissors,Tucson,United States
Saber Interactive,Millburn,United States
Sandlot,Tokyo,Japan
Sanzaru Games,Foster City,United States
Sir-Tech,Ogdensburg,United States Canada
Schell Games,Pittsburgh,United States
SCS Software,Prague,Czech Republic
Sega,Tokyo,Japan
Sensible Software,Cambridge,United Kingdom
Bend Studio,Bend,United States
San Mateo Studio (formerly Foster City Studio),San Mateo,United States
Japan Studio,Tokyo,Japan
London Studio,London,United Kingdom
San Diego Studio,San Diego,United States
Santa Monica Studio,Los Angeles,United States
Studio Liverpool,Liverpool,United Kingdom
Shaba Games,San Francisco,United States
SIE Worldwide Studios,"Tokyo, Fukuoka, Santa Monica, Los Angeles, San Diego, Bend, Amsterdam, London, Guildford, Cambridge","Japan, United States, Netherlands, United Kingdom"
SingleTrac,Salt Lake City,United States
Shengqu Games,Shanghai,China
Sherman3D,Petaling Jaya,Malaysia
Shift Up,Seoul,South Korea
Shin'en Multimedia,Munich,Germany
Sierra Entertainment,Oakhurst,United States
Silicon Knights,St. Catharines,Canada
Silicon Studio,Tokyo,Japan
Simtex,Austin,United States
skip Ltd.,Tokyo,Japan
SkyBox Labs,Burnaby,Canada
Slant Six Games,Vancouver,Canada
Sledgehammer Games,Foster City,United States
Snail,Suzhou,China
Snapshot Games,Sofia,Bulgaria
Slightly Mad Studios,London,United Kingdom
Slipgate Ironworks,Aars,Denmark
Slitherine Software,Epsom,United Kingdom
Smilegate,Seoul,South Korea
Smoking Gun Interactive,Vancouver,Canada
SNK,Osaka,Japan
Sobee Studios,Istanbul,Turkey
Snowblind Studios,Seattle,United States
Software 2000,Eutin,Germany
Sony Interactive Entertainment,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",United States
Sora Ltd.,Tokyo,Japan
Spellbound Entertainment,Offenburg,Germany
Spiders,Paris,France
Spike,Tokyo,Japan
Spike Chunsoft,Tokyo,Japan
Spil Games,Hilversum,Netherlands
Splash Damage,London,United Kingdom
Sports Interactive,London,United Kingdom
Sproing Interactive Media,Vienna,Austria
Square Enix,"Shinjuku, Tokyo",Japan
Squad,Mexico City,Mexico
Stainless Games,Newport,United Kingdom
Stainless Steel Studios,Cambridge,United States
Starbreeze Studios,Uppsala,Sweden
Stardock,Plymouth,United States
Sting Entertainment,Tokyo,Japan
Strategic Simulations,Sunnyvale,United States
Stoic Studio,Austin,United States
Strawdog Studios,Derby,United Kingdom
Straylight Studios,Dunedin,New Zealand
Streamline Studios,Kuala Lumpur,Malaysia
Success,Tokyo,Japan
Sucker Punch Productions,Bellevue,United States
Sumo Digital,Sheffield,United Kingdom
Sunsoft,Kōnan,Japan
Supercell,Helsinki,Finland
Supermassive Games,Guildford,United Kingdom
Supergiant Games,San Francisco,United States
SuperVillain Studios,Orange County,United States
Survios,Los Angeles,United States
Studio Wildcard,Kirkland,United States
Swordfish Studios,Birmingham,United Kingdom
Swingin' Ape Studios,Aliso Viejo,United States
StormRegion,Budapest,Hungary
Sunstorm Interactive,Indianapolis,United States
Syn Sophia,Tokyo,Japan
SystemSoft Beta,Tokyo,Japan
Taito,"Shinjuku, Tokyo",Japan
Tango Gameworks,"Minato, Tokyo",Japan
Tag Games,Dundee,United Kingdom
TaleWorlds Entertainment,Ankara,Turkey
Tamsoft,Asakusa,Japan
T&E Soft,,Japan
Tantalus Media,Melbourne,Australia
Tarsier Studios,Malmö,Sweden
Tate Multimedia,Warsaw,Poland
Team17,Ossett,United Kingdom
Team Asobi,Tokyo,Japan
Team Bondi,Sydney,Australia
Team Ico,Tokyo,Japan
Team Ninja,Tokyo,Japan
Techland,"Wrocław, Warszawa",Poland
Tecmo,Tokyo,Japan
Telltale Games,San Rafael,United States
Tencent,Shenzhen,China
Tencent Games,Shenzhen,China
Tequila Works,Madrid,Spain
Terminal Reality,Lewisville,United States
Tetris Online,Honolulu,United States
Teyon,Kraków,Poland
Thatgamecompany,Santa Monica,United States
The Chinese Room,Brighton,United Kingdom
The Coalition,Vancouver,Canada
The Farm 51,Gliwice,Poland
The Initiative,Santa Monica,United States
THQ,Agoura Hills,United States
THQ Nordic,Vienna,Austria
Three Fields Entertainment,Petersfield,United Kingdom
Three Rings Design,San Francisco,United States
TimeGate Studios,Sugar Land,United States
TiMi Studios,Shenzhen,China
Toaplan,Tokyo,Japan
Toby Fox,,United States
Toca Boca,Stockholm,Sweden
ToeJam & Earl Productions,San Francisco,United States
Tokyo RPG Factory,Tokyo,Japan
Toolworks,Novato,United States
TopWare Interactive,Karlsruhe,Germany
Torpex Games,Bellevue,United States
Torus Games,Bayswater,Australia
Tose,Kyoto,Japan
Toys for Bob,Novato,United States
Trapdoor,Montreal,Canada
Transmission Games,Melbourne,Australia
Traveller's Tales,Knutsford,United Kingdom
Treyarch,Santa Monica,United States
Treasure,Tokyo,Japan
tri-Ace,Tokyo,Japan
tri-Crescendo,Tokyo,Japan
Trion Worlds,Redwood City,United States
Tripwire Interactive,Roswell,United States
Triumph Studios,Delft,Netherlands
Turn 10 Studios,Redmond,United States
Turtle Rock Studios,Lake Forest,United States
Two Point Studios,"Farnham, Surrey",United Kingdom
Two Tribes,Amersfoort,Netherlands
Typhoon Games (HK),Hong Kong SAR,China
Ubisoft,Montreuil-sous-Bois,France
Ubisoft Blue Byte,Düsseldorf,Germany
Ubisoft Leamington,Leamington Spa,United Kingdom
Ubisoft Reflections,Newcastle upon Tyne,United Kingdom
UEP Systems,Tokyo,Japan
Ultimate Play the Game,Ashby-de-la-Zouch,United Kingdom
Undead Labs,Seattle,United States
Underground Development,Foster City,United States
United Front Games,Vancouver,Canada
United Game Artists,Tokyo,Japan
Universomo,Tampere,Finland
Unknown Worlds Entertainment,San Francisco,United States
Valhalla Game Studios,Tokyo,Japan
Valve,Kirkland,United States
Vanillaware,"Chūō-ku, Osaka",Japan
Vanpool,Tokyo,Japan
Velan Studios,Troy,United States
VG Entertainment,Kyiv,Ukraine
Vic Tokai,,Japan
Vicarious Visions,Albany (Menands),United States
Vigil Games,Austin,United States
Virtual Heroes,Raleigh,United States
Virtuos,,Singapore
Visceral Games,Redwood City,United States
Visual Concepts,Novato,United States
Volition,Champaign,United States
Wahoo Studios,Orem,United States
Warhorse Studios,Prague,Czech Republic
Wargaming,Nicosia Minsk,Cyprus Belarus
Lesta Studio (formerly Wargaming Saint Petersburg),Saint Petersburg,Russia
Wargaming Seattle,Redmond,United States
Warner Bros. Interactive Entertainment,Chicago,United States
WB Games Boston (formerly Turbine),Needham,United States
WB Games - Avalanche (formerly Avalanche Software),Salt Lake City,United States
Webfoot Technologies,Chicago,United States
WeMade,Seoul,South Korea
Westone Bit Entertainment,Tokyo,Japan
Westwood Studios,Las Vegas,United States
Wideload Games,Chicago,United States
Wildfire Studios,Brisbane,Australia
Wizet studio (Nexon development 1st division),Seoul,South Korea
Wolfire Games,Berkeley,United States
World Forge,Voronezh,Russia
Xbox Game Studios,Redmond,United States
XPEC Entertainment,Taipei,Taiwan
Yager Development,Berlin,Germany
Yuke's,Osaka,Japan
ZeniMax Online Studios,Hunt Valley,United States
Zen Studios,Budapest,Hungary
Zipper Interactive,Redmond,United States
Zombie Studios,Seattle,United States
ZootFly,Ljubljana,Slovenia
Zynga,San Francisco,United States
